smell_a,smell_b,phi,p_value,significant_bonferroni,notable,subset
AssertionRoulette,EagerTest,0.3750856599374742,5.59875880090516e-172,True,True,agentic
AssertionRoulette,MagicNumberTest,0.2919744866212633,5.3872077177764325e-105,True,True,agentic
AssertionRoulette,UnknownTest,0.12294087823648223,5.046773211161385e-20,True,False,agentic
AssertionRoulette,RedundantAssertion,0.3443501755720165,2.871015917516071e-145,True,True,agentic
AssertionRoulette,DuplicateAssert,0.49448524337392263,2.440061417445562e-297,True,True,agentic
AssertionRoulette,VerboseTest,0.4707715244175951,1.0462431023907862e-269,True,True,agentic
AssertionRoulette,MissingExceptionTest,0.3027711689346074,9.33189942928503e-113,True,True,agentic
AssertionRoulette,ResourceOptimism,0.1867841589925999,4.697911466198345e-44,True,False,agentic
AssertionRoulette,GeneralFixture,0.22079196036870613,7.590904599772746e-61,True,True,agentic
EagerTest,MagicNumberTest,0.24683845051109396,1.3799421598364191e-75,True,True,agentic
EagerTest,UnknownTest,0.3005419302188427,3.939955899101422e-111,True,True,agentic
EagerTest,RedundantAssertion,0.17159798585609962,1.8763113978574923e-37,True,False,agentic
EagerTest,DuplicateAssert,0.25042006594285593,9.667575523794747e-78,True,True,agentic
EagerTest,VerboseTest,0.5605732095205546,0.0,True,True,agentic
EagerTest,MissingExceptionTest,0.25445875536516827,3.3021705167085917e-80,True,True,agentic
EagerTest,ResourceOptimism,0.22802604597308415,8.911347080002772e-65,True,True,agentic
EagerTest,GeneralFixture,0.19230113096731918,1.3697011277439701e-46,True,False,agentic
MagicNumberTest,UnknownTest,0.11895938067102735,7.5640078283568065e-19,True,False,agentic
MagicNumberTest,RedundantAssertion,0.11266487104710908,4.575476185872595e-17,True,False,agentic
MagicNumberTest,DuplicateAssert,0.2386204240943276,9.264890136673435e-71,True,True,agentic
MagicNumberTest,VerboseTest,0.2304793468202247,3.8767830198989584e-66,True,True,agentic
MagicNumberTest,MissingExceptionTest,0.18380853263851046,1.0209341826288212e-42,True,False,agentic
MagicNumberTest,ResourceOptimism,0.2018753856143356,3.6591638252879326e-51,True,True,agentic
MagicNumberTest,GeneralFixture,0.09426531792147251,2.128879174372447e-12,True,False,agentic
UnknownTest,RedundantAssertion,0.05596086227537391,3.0344180837410916e-05,True,False,agentic
UnknownTest,DuplicateAssert,0.18502769936771873,2.90895550883245e-43,True,False,agentic
UnknownTest,VerboseTest,0.31246982627144526,5.735918019451179e-120,True,True,agentic
UnknownTest,MissingExceptionTest,0.23456912358290072,1.934891800858735e-68,True,True,agentic
UnknownTest,ResourceOptimism,0.13562797409726665,5.059864507398371e-24,True,False,agentic
UnknownTest,GeneralFixture,0.10640450214065811,2.1821825574559577e-15,True,False,agentic
RedundantAssertion,DuplicateAssert,0.2855528338606266,1.6390298687826496e-100,True,True,agentic
RedundantAssertion,VerboseTest,0.2596322861135403,2.0038976738741998e-83,True,True,agentic
RedundantAssertion,MissingExceptionTest,0.3607623955673705,3.0099269878711615e-159,True,True,agentic
RedundantAssertion,ResourceOptimism,0.1306698075967168,2.0543495421189583e-22,True,False,agentic
RedundantAssertion,GeneralFixture,0.3284318791818536,2.494276547057608e-132,True,True,agentic
DuplicateAssert,VerboseTest,0.340940951692092,1.907767354008837e-142,True,True,agentic
DuplicateAssert,MissingExceptionTest,0.2798233779671505,1.3513345713075302e-96,True,True,agentic
DuplicateAssert,ResourceOptimism,0.1669206280787942,1.5671431147122887e-35,True,False,agentic
DuplicateAssert,GeneralFixture,0.20619144478602378,2.6901145961574307e-53,True,True,agentic
VerboseTest,MissingExceptionTest,0.3276739603968665,9.949104676694945e-132,True,True,agentic
VerboseTest,ResourceOptimism,0.21044299302316366,1.9243907894175037e-55,True,True,agentic
VerboseTest,GeneralFixture,0.2272899276344094,2.267950288638371e-64,True,True,agentic
MissingExceptionTest,ResourceOptimism,0.18516066280861201,2.5354479315077564e-43,True,False,agentic
MissingExceptionTest,GeneralFixture,0.3357121156826893,3.5897949663920337e-138,True,True,agentic
ResourceOptimism,GeneralFixture,0.13095404894297039,1.6674290759835926e-22,True,False,agentic
