metric,group_a,mwu_u,mwu_p,group_b,n_a,n_b,median_a,median_b,cliffs_d,cliffs_size,bonferroni_p,significant_bonferroni,smell,pct_a,pct_b
tdt_index_kruskal,all_agents,30.69609087907601,3.5309729762828425e-06,,,,,,,,,,,,
tdt_index_posthoc,OpenAI_Codex,1845735.0,0.0004903306493048368,Devin,2734.0,1439.0,0.09,0.06,-0.06170362353357433,negligible,0.004903306493048367,True,,,
tdt_index_posthoc,OpenAI_Codex,1178034.5,6.436665505822789e-05,Copilot,2734.0,939.0,0.09,0.1,-0.0822510367221273,negligible,0.0006436665505822789,True,,,
tdt_index_posthoc,OpenAI_Codex,374903.0,0.00020182565339532866,Cursor,2734.0,312.0,0.09,0.095,-0.12098596965092942,negligible,0.0020182565339532865,True,,,
tdt_index_posthoc,OpenAI_Codex,162994.0,0.06503312200516136,Claude_Code,2734.0,131.0,0.09,0.0,-0.0898105284319036,negligible,0.6503312200516136,False,,,
tdt_index_posthoc,Devin,666934.0,0.5718010384127699,Copilot,1439.0,939.0,0.06,0.1,-0.012842458783574264,negligible,1.0,False,,,
tdt_index_posthoc,Devin,211970.5,0.09933010684589756,Cursor,1439.0,312.0,0.06,0.095,-0.05574339373852925,negligible,0.9933010684589756,False,,,
tdt_index_posthoc,Devin,90234.0,0.38697914625932406,Claude_Code,1439.0,131.0,0.06,0.0,-0.04265578831779915,negligible,1.0,False,,,
tdt_index_posthoc,Copilot,139871.5,0.20322721559039658,Cursor,939.0,312.0,0.1,0.095,-0.045141448895442506,negligible,1.0,False,,,
tdt_index_posthoc,Copilot,59405.0,0.49892439699523405,Claude_Code,939.0,131.0,0.1,0.0,-0.03413571364696892,negligible,1.0,False,,,
tdt_index_posthoc,Cursor,20438.5,0.9986147276644114,Claude_Code,312.0,131.0,0.095,0.0,0.00012233313760031317,negligible,1.0,False,,,
smell_prevalence,AI,,1.0,Human,1969.0,0.0,,,,,1.0,False,AssertionRoulette,35.45,0.0
smell_prevalence,AI,,1.0,Human,2985.0,0.0,,,,,1.0,False,EagerTest,53.74,0.0
smell_prevalence,AI,,1.0,Human,758.0,0.0,,,,,1.0,False,MagicNumberTest,13.65,0.0
smell_prevalence,AI,,1.0,Human,1145.0,0.0,,,,,1.0,False,UnknownTest,20.61,0.0
smell_prevalence,AI,,1.0,Human,597.0,0.0,,,,,1.0,False,RedundantAssertion,10.75,0.0
smell_prevalence,AI,,1.0,Human,912.0,0.0,,,,,1.0,False,DuplicateAssert,16.42,0.0
smell_prevalence,AI,,1.0,Human,1877.0,0.0,,,,,1.0,False,VerboseTest,33.79,0.0
smell_prevalence,AI,,1.0,Human,725.0,0.0,,,,,1.0,False,MissingExceptionTest,13.05,0.0
smell_prevalence,AI,,1.0,Human,440.0,0.0,,,,,1.0,False,ResourceOptimism,7.92,0.0
smell_prevalence,AI,,1.0,Human,253.0,0.0,,,,,1.0,False,GeneralFixture,4.55,0.0
