metric,group_a,group_b,n_a,n_b,stat,p_value,effect,effect_size,mean_a,mean_b,median_a,median_b
category_test_vs_prod_chi2,test files,production files,1382,15413.0,1156.58660785795,1.7221924176918859e-245,0.26242129574546613,small,,,,
category_share_test_vs_prod,superficial (test),superficial (production),116,1174.0,,,0.96,std_residual,8.39,7.62,,
category_share_test_vs_prod,functional (test),functional (production),144,1917.0,,,-1.97,std_residual,10.42,12.44,,
category_share_test_vs_prod,coverage (test),coverage (production),209,237.0,,,28.44,std_residual,15.12,1.54,,
category_share_test_vs_prod,maintainability (test),maintainability (production),108,1249.0,,,-0.35,std_residual,7.81,8.1,,
category_share_test_vs_prod,confidence (test),confidence (production),60,80.0,,,14.28,std_residual,4.34,0.52,,
category_share_test_vs_prod,process (test),process (production),20,337.0,,,-1.73,std_residual,1.45,2.19,,
category_share_test_vs_prod,directive (test),directive (production),41,526.0,,,-0.83,std_residual,2.97,3.41,,
category_share_test_vs_prod,unclassified (test),unclassified (production),684,9893.0,,,-6.32,std_residual,49.49,64.19,,
tone_test_vs_prod,test files,production files,1602,18782.0,15432979.0,0.03061919738457347,0.025830040742118886,negligible,0.1735330836454432,0.14439356831008412,0.0,0.0
intensity_test_vs_prod,test files,production files,1602,18782.0,15658829.0,0.001845348742284354,0.040842289168142636,negligible,0.5705368289637952,0.5224683207326163,0.0,0.0
verbosity_test_vs_prod,test files,production files,1602,18782.0,15019584.0,0.9126390963559308,-0.0016483229420789767,negligible,26.855805243445694,26.5166116494516,18.0,18.0
tone_human_test_vs_prod,test files (human),production files (human),688,9683.0,3408229.0,0.17685624036621872,0.023199673846996293,negligible,0.0436046511627907,0.01734999483631106,0.0,0.0
intensity_human_test_vs_prod,test files (human),production files (human),688,9683.0,3234149.0,0.11682577851675598,-0.029061661651083533,negligible,0.31976744186046513,0.35360941856862543,0.0,0.0
category_human_vs_bot_test_chi2,human,bot,637,745.0,165.0231914989622,2.8091648584583424e-32,0.3455560249110996,medium,,,,
role_test_vs_prod_chi2,test files,production files,1602,18782.0,17.988347403086337,0.00012413092513108656,0.029706461785535147,negligible,,,,
